load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.0005
Random Initialization - No Saved Model
Epoch:   1 | 15375/39011 batches | lr 0.000461 | ms/batch 548.19 | loss  3.87 | ppl    48.05
Epoch:   1 | 15500/39011 batches | lr 0.000460 | ms/batch 556.97 | loss  3.84 | ppl    46.48
Epoch:   1 | 15625/39011 batches | lr 0.000460 | ms/batch 554.20 | loss  3.85 | ppl    46.96
Epoch:   1 | 15750/39011 batches | lr 0.000460 | ms/batch 556.87 | loss  3.82 | ppl    45.67
Epoch:   1 | 15875/39011 batches | lr 0.000459 | ms/batch 544.86 | loss  3.83 | ppl    46.08
Epoch:   1 | 16000/39011 batches | lr 0.000459 | ms/batch 559.80 | loss  3.86 | ppl    47.45
Epoch:   1 | 16125/39011 batches | lr 0.000459 | ms/batch 553.07 | loss  3.82 | ppl    45.42
Epoch:   1 | 16250/39011 batches | lr 0.000458 | ms/batch 548.35 | loss  3.83 | ppl    45.99
Epoch:   1 | 16375/39011 batches | lr 0.000458 | ms/batch 557.24 | loss  3.85 | ppl    46.88
Epoch:   1 | 16500/39011 batches | lr 0.000458 | ms/batch 548.62 | loss  3.85 | ppl    46.92
Epoch:   1 | 16625/39011 batches | lr 0.000457 | ms/batch 554.55 | loss  3.80 | ppl    44.79
Epoch:   1 | 16750/39011 batches | lr 0.000457 | ms/batch 558.88 | loss  3.88 | ppl    48.47
Epoch:   1 | 16875/39011 batches | lr 0.000457 | ms/batch 551.99 | loss  3.84 | ppl    46.58
Epoch:   1 | 17000/39011 batches | lr 0.000456 | ms/batch 558.56 | loss  3.83 | ppl    46.15
Epoch:   1 | 17125/39011 batches | lr 0.000456 | ms/batch 559.60 | loss  3.85 | ppl    47.06
Epoch:   1 | 17250/39011 batches | lr 0.000456 | ms/batch 553.57 | loss  3.87 | ppl    47.84
Epoch:   1 | 17375/39011 batches | lr 0.000455 | ms/batch 551.61 | loss  3.85 | ppl    47.11
Epoch:   1 | 17500/39011 batches | lr 0.000455 | ms/batch 554.61 | loss  3.83 | ppl    46.21
Epoch:   1 | 17625/39011 batches | lr 0.000455 | ms/batch 546.74 | loss  3.86 | ppl    47.49
Epoch:   1 | 17750/39011 batches | lr 0.000454 | ms/batch 557.53 | loss  3.84 | ppl    46.57
Epoch:   1 | 17875/39011 batches | lr 0.000454 | ms/batch 559.48 | loss  3.81 | ppl    45.12
Epoch:   1 | 18000/39011 batches | lr 0.000454 | ms/batch 554.92 | loss  3.85 | ppl    47.02
Epoch:   1 | 18125/39011 batches | lr 0.000454 | ms/batch 554.16 | loss  3.84 | ppl    46.65
Epoch:   1 | 18250/39011 batches | lr 0.000453 | ms/batch 547.82 | loss  3.82 | ppl    45.52
Epoch:   1 | 18375/39011 batches | lr 0.000453 | ms/batch 560.75 | loss  3.85 | ppl    46.96
Epoch:   1 | 18500/39011 batches | lr 0.000453 | ms/batch 551.55 | loss  3.83 | ppl    45.96
Epoch:   1 | 18625/39011 batches | lr 0.000452 | ms/batch 556.98 | loss  3.87 | ppl    47.81
Epoch:   1 | 18750/39011 batches | lr 0.000452 | ms/batch 556.32 | loss  3.85 | ppl    46.83
Epoch:   1 | 18875/39011 batches | lr 0.000452 | ms/batch 550.33 | loss  3.82 | ppl    45.77
Epoch:   1 | 19000/39011 batches | lr 0.000451 | ms/batch 554.93 | loss  3.83 | ppl    46.24
Epoch:   1 | 19125/39011 batches | lr 0.000451 | ms/batch 557.31 | loss  3.81 | ppl    45.03
